quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	chord_id	Chord/StemDirection	Chord/durationType	Clef/concertClefType	Clef/transposingClefType	Dynamic/offset	Dynamic/offset:x	Dynamic/offset:y	Dynamic/style	Dynamic/subtype	Dynamic/velocity	Rest/durationType
43	2.0	15	15	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
42	1.0	15	15	0	0	Rest	3/4	2	1	1/4	1.0												quarter
43	1.0	15	15	1/4	1/4	Chord	3/4	2	1	1/4	1.0	43	up	quarter									
44	1.0	15	15	1/2	1/2	Chord	3/4	2	1	1/4	1.0	44	up	quarter									
45	1.0	16	16	0	0	Chord	3/4	1	1	1/4	1.0	45	up	quarter									
46	2.0	16	16	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
45	1.0	16	16	0	0	Rest	3/4	2	1	1/4	1.0												quarter
46	1.0	16	16	1/4	1/4	Chord	3/4	2	1	1/4	1.0	46	up	quarter									
47	1.0	16	16	1/2	1/2	Chord	3/4	2	1	1/4	1.0	47	up	quarter									
48	1.0	17	17	0	0	Chord	3/4	1	1	1/4	1.0	48	up	quarter									
49	2.0	17	17	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
48	1.0	17	17	0	0	Rest	3/4	2	1	1/4	1.0												quarter
49	1.0	17	17	1/4	1/4	Chord	3/4	2	1	1/4	1.0	49	up	quarter									
50	1.0	17	17	1/2	1/2	Chord	3/4	2	1	1/4	1.0	50	up	quarter									
51	1.0	18	18	0	0	Chord	3/4	1	1	1/4	1.0	51	up	quarter									
52	2.0	18	18	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
51	1.0	18	18	0	0	Rest	3/4	2	1	1/4	1.0												quarter
52	1.0	18	18	1/4	1/4	Chord	3/4	2	1	1/4	1.0	52	up	quarter									
53	1.0	18	18	1/2	1/2	Chord	3/4	2	1	1/4	1.0	53	up	quarter									
54	1.0	19	19	0	0	Chord	3/4	1	1	1/4	1.0	54	up	quarter									
55	2.0	19	19	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
54	1.0	19	19	0	0	Rest	3/4	2	1	1/4	1.0												quarter
55	1.0	19	19	1/4	1/4	Chord	3/4	2	1	1/4	1.0	55	up	quarter									
56	1.0	19	19	1/2	1/2	Chord	3/4	2	1	1/4	1.0	56	up	quarter									
57	1.0	20	20	0	0	Chord	3/4	1	1	1/4	1.0	57	up	quarter									
58	2.0	20	20	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
57	1.0	20	20	0	0	Rest	3/4	2	1	1/4	1.0												quarter
58	1.0	20	20	1/4	1/4	Chord	3/4	2	1	1/4	1.0	58	up	quarter									
59	1.0	20	20	1/2	1/2	Chord	3/4	2	1	1/4	1.0	59	up	quarter									
60	1.0	21	21	0	0	Chord	3/4	1	1	1/4	1.0	60	up	quarter									
61	2.0	21	21	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
60	1.0	21	21	0	0	Rest	3/4	2	1	1/4	1.0												quarter
61	1.0	21	21	1/4	1/4	Chord	3/4	2	1	1/4	1.0	61	up	quarter									
62	1.0	21	21	1/2	1/2	Chord	3/4	2	1	1/4	1.0	62	up	quarter									
63	1.0	22	22	0	0	Chord	3/4	1	1	1/4	1.0	63	up	quarter									
64	2.0	22	22	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
