quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	volta	chord_id	Beam	Chord/Lyrics/family	Chord/Lyrics/no	Chord/Lyrics/offset	Chord/Lyrics/offset:x	Chord/Lyrics/offset:y	Chord/Lyrics/syllabic	Chord/Lyrics/text	Chord/Lyrics/text/font	Chord/Lyrics/text/font:face	Chord/Lyrics/ticks	Chord/Lyrics/ticks_f	Chord/Spanner/Slur	Chord/Spanner/Slur/SlurSegment/o1	Chord/Spanner/Slur/SlurSegment/o1:x	Chord/Spanner/Slur/SlurSegment/o1:y	Chord/Spanner/Slur/SlurSegment/o2	Chord/Spanner/Slur/SlurSegment/o2:x	Chord/Spanner/Slur/SlurSegment/o2:y	Chord/Spanner/Slur/SlurSegment/o3	Chord/Spanner/Slur/SlurSegment/o3:x	Chord/Spanner/Slur/SlurSegment/o3:y	Chord/Spanner/Slur/SlurSegment/o4	Chord/Spanner/Slur/SlurSegment/o4:x	Chord/Spanner/Slur/SlurSegment/o4:y	Chord/Spanner/Slur/SlurSegment:no	Chord/Spanner/next/location/fractions	Chord/Spanner/prev/location/fractions	Chord/Spanner:type	Chord/dots	Chord/durationType	Chord/small	Clef/concertClefType	Clef/transposingClefType	Harmony/base	Harmony/extension	Harmony/name	Harmony/offset	Harmony/offset:x	Harmony/offset:y	Harmony/root	Rest/dots	Rest/duration	Rest/durationType	Rest/offset	Rest/offset:x	Rest/offset:y	Rest/small	Rest/visible	Spanner/HairPin/Segment/off2	Spanner/HairPin/Segment/off2:x	Spanner/HairPin/Segment/off2:y	Spanner/HairPin/Segment/offset	Spanner/HairPin/Segment/offset:x	Spanner/HairPin/Segment/offset:y	Spanner/HairPin/Segment/subtype	Spanner/HairPin/subtype	Spanner/next/location/fractions	Spanner/next/location/measures	Spanner/prev/location/fractions	Spanner/prev/location/measures	Spanner:type	Symbol/name	Symbol/offset	Symbol/offset:x	Symbol/offset:y	location/fractions
18	1.0	4	4	1/2	1/2	Chord	4/4	1	1	1/4	1		47		FreeSerif	1				end	Mon	/	Times New Roman	600	5/16		/	0.47997	-5.03968	/	0.239985	-4.43972	/	-0.47997	-5.27967	/	13.4392	-3.95975	0	1/4		Slur		quarter																																				
19	0.0	4	4	3/4	3/4	Beam	4/4	1	1	0				∅																																																																		
19	0.25	4	4	3/4	3/4	Chord	4/4	1	1	1/16	1		48																							/	2.15986	0.839947	0	1/16	-1/4	Slur		16th	1																																			
77/4	0.25	4	4	13/16	13/16	Chord	4/4	1	1	1/16	1		49																												-1/16	Slur		16th	1																																			
39/2	0.0	4	4	7/8	7/8	Harmony	4/4	1	1	0																																							64	7				16																										
39/2	0.25	4	4	7/8	7/8	Chord	4/4	1	1	1/16	1		50		FreeSerif	1					coeur	/	Times New Roman	120	1/16	∅														1/16		Slur		16th																																				
79/4	0.25	4	4	15/16	15/16	Chord	4/4	1	1	1/16	1		51																												-1/16	Slur		16th																																				
20	0.25	4	4	1	1	Chord	4/4	1	1	1/16	1		52		FreeSerif	1					s'ouvre	/	Times New Roman	120	1/16	∅														1/16		Slur		16th																																				
81/4	0.25	4	4	17/16	17/16	Chord	4/4	1	1	1/16	1		53		FreeSerif	1					à	/	Times New Roman																		-1/16	Slur		16th																																				
41/2	0.5	4	4	9/8	9/8	Rest	4/4	1	1	1/8	1																																														eighth	/	29.9981	15	1	0																		
21	0.0	5	5	0	0	Harmony	4/4	1	1	0																																							1					15																										
21	1.0	5	5	0	0	Chord	4/4	1	1	1/4	1		54		FreeSerif	1					toi.	/	Times New Roman																					quarter																																				
22	0.5	5	5	1/4	1/4	Rest	4/4	1	1	1/8	1																																														eighth																							
45/2	0.5	5	5	3/8	3/8	Chord	4/4	1	1	1/8	1		55		FreeSerif	1					Je	/	Times New Roman																					eighth																																				
23	0.0	5	5	1/2	1/2	Harmony	4/4	1	1	0																																							16	m				18																										
