quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
23	0.75	5	5		1/2	1/2	4/4	1	1	3/16	1/8	3/2		5	71	B4	4	56
95/4	0.125	5	5		11/16	11/16	4/4	1	1	1/32	1/32	1		3	69	A4	4	57
191/8	0.125	5	5		23/32	23/32	4/4	1	1	1/32	1/32	1		1	67	G4	4	58
24	0.25	5	5		3/4	3/4	4/4	1	1	1/16	1/16	1		6	66	F#4	4	59
97/4	0.25	5	5		13/16	13/16	4/4	1	1	1/16	1/16	1		4	64	E4	4	60
49/2	0.25	5	5		7/8	7/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	61
99/4	0.25	5	5		15/16	15/16	4/4	1	1	1/16	1/16	1		7	73	C#5	5	62
25	1.0	6	6		0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	63
26	0.75	6	6		1/4	1/4	4/4	1	1	3/16	1/8	3/2		10	70	A#4	4	64
107/4	0.25	6	6		7/16	7/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	65
27	0.75	6	6		1/2	1/2	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	66
111/4	0.25	6	6		11/16	11/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	67
28	0.25	6	6		3/4	3/4	4/4	1	1	1/16	1/16	1		6	66	F#4	4	68
113/4	0.25	6	6		13/16	13/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	69
57/2	0.25	6	6		7/8	7/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	70
115/4	0.25	6	6		15/16	15/16	4/4	1	1	1/16	1/16	1		0	72	C5	5	71
29	0.25	6	6		1	1	4/4	1	1	1/16	1/16	1		3	69	A4	4	72
117/4	0.25	6	6		17/16	17/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	73
30	1.5	7	7		0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	74
63/2	0.25	7	7		3/8	3/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	75
127/4	0.25	7	7		7/16	7/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	76
32	0.75	7	7		1/2	1/2	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	77
131/4	0.25	7	7		11/16	11/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	78
33	0.25	7	7		3/4	3/4	4/4	1	1	1/16	1/16	1		4	64	E4	4	79
133/4	0.25	7	7		13/16	13/16	4/4	1	1	1/16	1/16	1		8	68	G#4	4	80
67/2	0.25	7	7		7/8	7/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	81
135/4	0.25	7	7		15/16	15/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	82
34	0.25	7	7		1	1	4/4	1	1	1/16	1/16	1		5	71	B4	4	83
137/4	0.25	7	7		17/16	17/16	4/4	1	1	1/16	1/16	1		8	68	G#4	4	84
35	1.0	8	8		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	85
36	0.25	8	8		1/4	1/4	4/4	1	1	1/16	1/16	1		3	69	A4	4	86
145/4	0.25	8	8		5/16	5/16	4/4	1	1	1/16	1/16	1		4	64	E4	4	87
73/2	0.25	8	8		3/8	3/8	4/4	1	1	1/16	1/16	1		6	66	F#4	4	88
147/4	0.25	8	8		7/16	7/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	89
37	0.25	8	8		1/2	1/2	4/4	1	1	1/16	1/16	1		3	69	A4	4	90
149/4	0.25	8	8		9/16	9/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	91
75/2	0.25	8	8		5/8	5/8	4/4	1	1	1/16	1/16	1		6	66	F#4	4	92
151/4	0.25	8	8		11/16	11/16	4/4	1	1	1/16	1/16	1		4	64	E4	4	93
38	1.0	8	8		3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	94
79/2	0.5	8	8		9/8	9/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	95
40	0.75	9	9		0	0	4/4	1	1	3/16	1/8	3/2		3	69	A4	4	96
163/4	0.25	9	9		3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	97
41	0.375	9	9		1/4	1/4	4/4	1	1	3/32	1/16	3/2		3	69	A4	4	98
331/8	0.125	9	9		11/32	11/32	4/4	1	1	1/32	1/32	1		8	68	G#4	4	99
83/2	0.375	9	9		3/8	3/8	4/4	1	1	3/32	1/16	3/2		3	69	A4	4	100
335/8	0.125	9	9		15/32	15/32	4/4	1	1	1/32	1/32	1		5	71	B4	4	101
42	0.375	9	9		1/2	1/2	4/4	1	1	3/32	1/16	3/2		3	69	A4	4	102
339/8	0.125	9	9		19/32	19/32	4/4	1	1	1/32	1/32	1		5	71	B4	4	103
85/2	0.5	9	9		5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	104
