quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
85	1.0	29	29	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	85
86	1.0	29	29	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	86
87	1.0	30	30	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	87
88	1.0	30	30	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	88
89	1.0	30	30	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	89
90	1.0	31	31	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	90
91	1.0	31	31	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	91
92	1.0	31	31	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	92
93	1.0	32	32	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	93
94	1.0	32	32	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	94
95	1.0	32	32	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	95
